N_P	N_A	N_B	Time
500.000	 300.000	 200.000	 0.000
302.651	 349.526	 347.823	 1.250
183.199	 379.437	 437.364	 2.500
110.868	 397.285	 491.847	 3.750
67.490	 408.164	 524.346	 5.000
40.833	 414.814	 544.353	 6.250
24.812	 418.876	 556.312	 7.500
15.056	 421.360	 563.584	 8.750
9.208	 422.813	 567.979	 10.000
5.544	 423.678	 570.767	 11.250
3.360	 424.242	 572.305	 12.500
2.047	 424.439	 573.211	 13.750
1.267	 424.517	 573.745	 15.000
0.759	 424.584	 574.031	 16.250
0.465	 424.615	 574.132	 17.500
0.278	 425.108	 573.739	 18.750
0.181	 424.526	 574.415	 20.000
0.103	 424.687	 574.273	 21.250
0.058	 425.836	 573.109	 22.500
0.037	 427.800	 571.143	 23.750
0.019	 426.889	 572.056	 25.000
0.010	 426.200	 572.800	 26.250
0.007	 421.857	 577.143	 27.500
0.006	 422.333	 576.667	 28.750
0.006	 422.333	 576.667	 30.000
0.004	 420.500	 578.500	 31.250
0.002	 425.000	 574.000	 32.500
0.002	 425.000	 574.000	 33.750
0.002	 425.000	 574.000	 35.000
0.002	 425.000	 574.000	 36.250
0.002	 425.000	 574.000	 37.500
0.002	 425.000	 574.000	 38.750
0.001	 433.000	 566.000	 40.000
0.001	 433.000	 566.000	 41.250
0.001	 433.000	 566.000	 42.500
0.001	 433.000	 566.000	 43.750
0.001	 433.000	 566.000	 45.000
