N	Time
1000.000	 0.000
904.735	 0.769
818.532	 1.538
740.701	 2.308
670.132	 3.077
606.335	 3.846
548.624	 4.615
496.190	 5.385
449.013	 6.154
406.411	 6.923
367.968	 7.692
332.987	 8.462
301.215	 9.231
272.538	 10.000
246.833	 10.769
223.378	 11.538
202.258	 12.308
183.050	 13.077
165.570	 13.846
149.863	 14.615
135.423	 15.385
122.554	 16.154
110.825	 16.923
100.351	 17.692
90.770	 18.462
82.115	 19.231
74.470	 20.000
67.158	 20.769
60.789	 21.538
54.950	 22.308
49.775	 23.077
45.042	 23.846
40.763	 24.615
37.001	 25.385
33.391	 26.154
30.136	 26.923
27.235	 27.692
24.684	 28.462
22.346	 29.231
20.200	 30.000
18.289	 30.769
16.581	 31.538
14.962	 32.308
13.471	 33.077
12.219	 33.846
11.010	 34.615
9.998	 35.385
9.014	 36.154
8.186	 36.923
7.415	 37.692
6.694	 38.462
6.045	 39.231
5.469	 40.000
4.961	 40.769
4.505	 41.538
4.085	 42.308
3.687	 43.077
3.344	 43.846
3.061	 44.615
2.784	 45.385
2.516	 46.154
2.268	 46.923
2.058	 47.692
1.864	 48.462
1.684	 49.231
1.535	 50.000
1.395	 50.769
1.258	 51.538
1.143	 52.308
1.046	 53.077
0.965	 53.846
0.876	 54.615
0.791	 55.385
0.712	 56.154
0.633	 56.923
0.568	 57.692
0.525	 58.462
0.467	 59.231
0.417	 60.000
0.382	 60.769
0.354	 61.538
0.316	 62.308
0.284	 63.077
0.254	 63.846
0.228	 64.615
0.203	 65.385
0.180	 66.154
0.171	 66.923
0.146	 67.692
0.135	 68.462
0.122	 69.231
0.110	 70.000
0.102	 70.769
0.089	 71.538
0.076	 72.308
0.068	 73.077
0.064	 73.846
0.058	 74.615
0.056	 75.385
0.052	 76.154
0.048	 76.923
0.045	 77.692
0.037	 78.462
0.032	 79.231
0.030	 80.000
0.025	 80.769
0.021	 81.538
0.020	 82.308
0.019	 83.077
0.019	 83.846
0.016	 84.615
0.016	 85.385
0.014	 86.154
0.014	 86.923
0.012	 87.692
0.012	 88.462
0.010	 89.231
0.008	 90.000
0.008	 90.769
0.008	 91.538
0.008	 92.308
0.007	 93.077
0.006	 93.846
0.006	 94.615
0.006	 95.385
0.005	 96.154
0.004	 96.923
0.003	 97.692
0.002	 98.462
0.001	 99.231
0.001	 100.000
0.001	 100.769
